Date,Hour Ending,Day-Ahead Cleared Demand
01/31/2013,01,11090.0
01/31/2013,02,10771.0
01/31/2013,03,10652.0
01/31/2013,04,10631.0
01/31/2013,05,10478.0
01/31/2013,06,11142.0
01/31/2013,07,12941.0
01/31/2013,08,14152.0
01/31/2013,09,14459.0
01/31/2013,10,14705.0
01/31/2013,11,14679.0
01/31/2013,12,14702.0
01/31/2013,13,14702.0
01/31/2013,14,14607.0
01/31/2013,15,14477.0
01/31/2013,16,14663.0
01/31/2013,17,15483.0
01/31/2013,18,16491.0
01/31/2013,19,16306.0
01/31/2013,20,16099.0
01/31/2013,21,15561.0
01/31/2013,22,14474.0
01/31/2013,23,13185.0
01/31/2013,24,11967.0
02/01/2013,01,12291.0
02/01/2013,02,12047.0
02/01/2013,03,11985.0
02/01/2013,04,11970.0
02/01/2013,05,11947.0
02/01/2013,06,12318.0
02/01/2013,07,14168.0
02/01/2013,08,14527.0
02/01/2013,09,14869.0
02/01/2013,10,15049.0
02/01/2013,11,15089.0
02/01/2013,12,14959.0
02/01/2013,13,14872.0
02/01/2013,14,14816.0
02/01/2013,15,15019.0
02/01/2013,16,14983.0
02/01/2013,17,15462.0
02/01/2013,18,16627.0
02/01/2013,19,16677.0
02/01/2013,20,16154.0
02/01/2013,21,15502.0
02/01/2013,22,14912.0
02/01/2013,23,14012.0
02/01/2013,24,12836.0
02/02/2013,01,11997.0
02/02/2013,02,11937.0
02/02/2013,03,12051.0
02/02/2013,04,12060.0
02/02/2013,05,12112.0
02/02/2013,06,12095.0
02/02/2013,07,12753.0
02/02/2013,08,13683.0
02/02/2013,09,14495.0
02/02/2013,10,14966.0
02/02/2013,11,14896.0
02/02/2013,12,14852.0
02/02/2013,13,14545.0
02/02/2013,14,14269.0
02/02/2013,15,14099.0
02/02/2013,16,14207.0
02/02/2013,17,15201.0
02/02/2013,18,16414.0
02/02/2013,19,16468.0
02/02/2013,20,16023.0
02/02/2013,21,15470.0
02/02/2013,22,14665.0
02/02/2013,23,13688.0
02/02/2013,24,12542.0
02/03/2013,01,12497.0
02/03/2013,02,12015.0
02/03/2013,03,12355.0
02/03/2013,04,12300.0
02/03/2013,05,12464.0
02/03/2013,06,12425.0
02/03/2013,07,13123.0
02/03/2013,08,13445.0
02/03/2013,09,13830.0
02/03/2013,10,14114.0
02/03/2013,11,14316.0
02/03/2013,12,14364.0
02/03/2013,13,14342.0
02/03/2013,14,14343.0
02/03/2013,15,14189.0
02/03/2013,16,14256.0
02/03/2013,17,15164.0
02/03/2013,18,16386.0
02/03/2013,19,16593.0
02/03/2013,20,16048.0
02/03/2013,21,15351.0
02/03/2013,22,14570.0
02/03/2013,23,13836.0
02/03/2013,24,13051.0
02/04/2013,01,12233.0
02/04/2013,02,11876.0
02/04/2013,03,11824.0
02/04/2013,04,11724.0
02/04/2013,05,12025.0
02/04/2013,06,12705.0
02/04/2013,07,14391.0
02/04/2013,08,15453.0
02/04/2013,09,15774.0
02/04/2013,10,15968.0
02/04/2013,11,15881.0
02/04/2013,12,15830.0
02/04/2013,13,15699.0
02/04/2013,14,15429.0
02/04/2013,15,15176.0
02/04/2013,16,15269.0
02/04/2013,17,16298.0
02/04/2013,18,17274.0
02/04/2013,19,17470.0
02/04/2013,20,17164.0
02/04/2013,21,16626.0
02/04/2013,22,15399.0
02/04/2013,23,14068.0
02/04/2013,24,13044.0
02/05/2013,01,12322.0
02/05/2013,02,12050.0
02/05/2013,03,12177.0
02/05/2013,04,12018.0
02/05/2013,05,12119.0
02/05/2013,06,12996.0
02/05/2013,07,15101.0
